id,winning_party,points,time_stamp
267,Re,1,2024-11-13 15:09:53
268,Re,2,2024-11-13 17:04:31
269,Re,5,2024-11-13 17:14:30
270,Kontra,6,2024-11-13 17:22:46
271,Re,6,2024-11-14 13:47:29
272,Kontra,2,2024-11-14 13:55:08
273,Re,6,2024-11-14 14:05:11
274,Re,4,2024-11-14 14:13:32
275,Re,6,2024-11-14 14:23:26
276,Re,2,2024-11-14 14:32:49
277,Re,2,2024-11-14 20:50:19
278,Kontra,0,2024-11-14 21:43:17
279,Re,1,2024-11-14 21:59:01
280,Re,3,2024-11-14 22:10:24
281,Re,2,2024-11-14 22:19:07
282,Re,4,2024-11-14 22:37:09
283,Kontra,1,2024-11-14 22:46:25
284,Re,2,2024-11-15 13:38:54
285,Re,5,2024-11-15 13:47:18
286,Re,2,2024-11-15 13:57:15
287,Kontra,1,2024-11-15 14:10:15
288,Re,4,2024-11-15 14:20:04
289,Re,9,2024-11-18 14:00:27
290,Re,3,2024-11-18 14:06:34
291,Re,1,2024-11-18 14:15:55
292,Re,3,2024-11-18 14:22:40
293,Re,2,2024-11-18 14:29:33
294,Re,0,2024-11-18 16:44:31
295,Re,3,2024-11-18 16:52:31
296,Kontra,3,2024-11-18 17:00:50
297,Kontra,2,2024-11-18 17:07:15
298,Re,0,2024-11-19 13:01:27
299,Kontra,2,2024-11-19 13:10:40
300,Kontra,2,2024-11-19 13:20:00
301,Re,3,2024-11-19 13:29:43
302,Kontra,6,2024-11-19 13:39:48
303,Kontra,3,2024-11-19 16:20:47
304,Re,4,2024-11-19 16:27:02
305,Re,5,2024-11-19 16:36:04
306,Re,3,2024-11-19 16:45:01
307,Re,2,2024-11-19 16:53:05
308,Kontra,3,2024-11-20 13:39:40
309,Re,4,2024-11-20 13:48:36
310,Re,6,2024-11-20 13:54:53
311,Re,4,2024-11-20 14:02:41
312,Kontra,0,2024-11-20 14:10:03
313,Re,2,2024-11-20 14:17:47
314,Kontra,3,2024-11-20 16:15:26
315,Re,4,2024-11-20 16:16:08
316,Re,1,2024-11-20 16:24:00
317,Kontra,5,2024-11-20 16:35:35
318,Re,4,2024-11-21 14:03:12
319,Re,4,2024-11-21 14:18:25
320,Re,6,2024-11-21 14:39:38
321,Re,2,2024-11-21 14:45:52
322,Kontra,1,2024-11-22 13:38:29
323,Re,7,2024-11-22 13:39:35
324,Re,3,2024-11-22 13:42:52
325,Re,2,2024-11-22 13:47:06
326,Re,2,2024-11-22 13:50:58
327,Re,0,2024-11-22 13:55:22
328,Re,1,2024-11-22 13:57:56
329,Re,4,2024-11-22 15:52:40
330,Kontra,3,2024-11-22 16:07:07
331,Re,0,2024-11-22 16:15:50
332,Re,5,2024-11-22 16:26:11
333,Re,5,2024-11-22 16:36:23
334,Re,3,2024-11-22 16:42:21
335,Re,3,2024-11-22 16:52:25
336,Re,7,2024-11-22 17:03:13
337,Re,4,2024-11-25 13:44:57
338,Kontra,3,2024-11-26 13:02:06
339,Re,1,2024-11-26 13:13:04
340,Kontra,1,2024-11-26 13:22:12
341,Kontra,2,2024-11-26 13:31:10
342,Kontra,4,2024-11-26 13:43:10
343,Re,7,2024-11-26 16:19:33
344,Re,2,2024-11-26 16:29:00
345,Re,1,2024-11-26 16:40:18
346,Kontra,4,2024-11-26 16:49:07
347,Kontra,3,2024-11-27 13:42:41
348,Re,2,2024-11-27 13:53:44
349,Kontra,5,2024-11-27 14:04:47
350,Re,4,2024-11-27 14:12:34
351,Re,6,2024-11-27 14:23:56
352,Re,2,2024-11-27 14:24:37
353,Kontra,2,2024-11-27 14:36:25
354,Kontra,0,2024-11-28 12:28:53
355,Re,5,2024-11-28 12:39:27
356,Re,1,2024-11-28 12:50:05
357,Kontra,3,2024-11-28 12:57:13
358,Kontra,2,2024-11-28 13:05:50
359,Re,2,2024-11-28 13:12:10
360,Kontra,3,2024-11-28 13:21:20
361,Re,3,2024-11-28 14:23:17
362,Kontra,6,2024-11-28 14:30:20
363,Kontra,4,2024-11-28 14:40:12
364,Re,1,2024-11-28 14:47:49
365,Re,2,2024-11-28 14:56:49
366,Kontra,3,2024-11-29 13:52:25
367,Kontra,1,2024-11-29 13:58:44
368,Re,1,2024-11-29 14:13:44
369,Re,3,2024-12-01 13:37:21
370,Re,3,2024-12-01 13:41:34
371,Re,2,2024-12-01 13:48:34
372,Kontra,3,2024-12-02 14:03:38
373,Kontra,5,2024-12-02 14:11:50
374,Re,5,2024-12-02 14:21:04
