round_id,team_id,position,party
171,11,3,Kontra
171,4,4,Kontra
172,22,1,Re
172,13,2,Kontra
172,32,3,Re
172,54,4,Kontra
173,22,1,Re
173,13,2,Re
173,32,3,Kontra
173,54,4,Kontra
174,21,1,Kontra
174,17,2,Kontra
174,4,3,Re
174,2,4,Re
175,55,1,Kontra
175,51,2,Re
175,20,3,Re
175,27,4,Kontra
176,55,1,Kontra
176,51,2,Re
176,20,3,Kontra
176,21,4,Re
177,2,1,Kontra
177,14,2,Kontra
177,56,3,Re
177,17,4,Re
178,2,1,Kontra
178,14,2,Re
178,56,3,Kontra
178,17,4,Re
179,4,1,Kontra
179,1,2,Re
179,2,3,Kontra
179,3,4,Re
180,4,1,Re
180,1,2,Kontra
180,2,3,Kontra
180,3,4,Re
181,4,1,Re
181,1,2,Re
181,2,3,Kontra
181,3,4,Kontra
182,4,1,Re
182,1,2,Kontra
182,2,3,Kontra
182,3,4,Re
183,3,1,Kontra
183,21,2,Kontra
183,17,3,Kontra
183,2,4,Re
184,3,1,Kontra
184,21,2,Re
184,17,3,Kontra
184,2,4,Re
185,26,1,Kontra
185,28,2,Kontra
185,57,3,Re
185,56,4,Re
186,26,1,Re
186,28,2,Re
186,57,3,Kontra
186,56,4,Kontra
187,26,1,Kontra
187,28,2,Re
187,57,3,Re
187,56,4,Kontra
188,26,1,Kontra
188,4,2,Re
188,57,3,Re
188,1,4,Kontra
189,26,1,Re
189,4,2,Kontra
189,57,3,Kontra
189,1,4,Re
190,17,1,Kontra
190,21,2,Kontra
190,51,3,Kontra
190,3,4,Re
191,17,1,Re
191,21,2,Kontra
191,51,3,Kontra
191,3,4,Re
192,17,1,Re
192,21,2,Re
192,51,3,Kontra
192,3,4,Kontra
193,17,1,Kontra
193,4,2,Re
193,1,3,Re
193,3,4,Kontra
194,3,1,Kontra
194,56,2,Re
194,55,3,Re
194,26,4,Kontra
195,3,1,Re
195,56,2,Kontra
195,55,3,Kontra
195,26,4,Kontra
196,2,1,Kontra
196,17,2,Re
196,3,3,Kontra
196,1,4,Re
197,2,1,Kontra
197,17,2,Re
197,3,3,Re
197,1,4,Kontra
198,2,1,Kontra
198,17,2,Re
198,3,3,Kontra
198,1,4,Re
199,2,1,Kontra
199,17,2,Re
199,3,3,Re
199,1,4,Kontra
200,2,1,Re
200,17,2,Kontra
200,1,3,Kontra
200,4,4,Re
201,2,1,Kontra
201,17,2,Re
201,1,3,Kontra
201,4,4,Re
202,2,1,Re
202,17,2,Kontra
202,1,3,Kontra
202,4,4,Re
203,2,1,Kontra
203,17,2,Re
203,1,3,Re
203,4,4,Kontra
204,2,1,Kontra
204,17,2,Re
204,1,3,Re
204,4,4,Kontra
205,2,1,Re
205,17,2,Kontra
205,1,3,Re
205,4,4,Kontra
206,2,1,Kontra
206,17,2,Re
206,1,3,Kontra
206,4,4,Re
207,12,1,Kontra
207,3,2,Kontra
